"","Freq","Cumul","relative","phastCons","Type","GeneSet"
"0.0529999993741512",20,5442,0.286919386302525,"0.0529999993741512","exons","Universal"
"0.0540000014007092",26,5468,0.288290188221648,"0.0540000014007092","exons","Universal"
"0.0549999997019768",21,5489,0.289397374387093,"0.0549999997019768","exons","Universal"
"0.0560000017285347",10,5499,0.289924605894448,"0.0560000017285347","exons","Universal"
"0.0570000000298023",19,5518,0.290926345758423,"0.0570000000298023","exons","Universal"
"0.0579999983310699",19,5537,0.291928085622397,"0.0579999983310699","exons","Universal"
"0.0590000003576279",26,5563,0.29329888754152,"0.0590000003576279","exons","Universal"
"0.0599999986588955",19,5582,0.294300627405494,"0.0599999986588955","exons","Universal"
"0.0610000006854534",14,5596,0.295038751515791,"0.0610000006854534","exons","Universal"
"0.061999998986721",17,5613,0.295935045078294,"0.061999998986721","exons","Universal"
"0.063000001013279",23,5636,0.29714767754521,"0.063000001013279","exons","Universal"
"0.0640000030398369",23,5659,0.298360310012126,"0.0640000030398369","exons","Universal"
"0.0649999976158142",13,5672,0.299045710971688,"0.0649999976158142","exons","Universal"
"0.0659999996423721",19,5691,0.300047450835662,"0.0659999996423721","exons","Universal"
"0.0670000016689301",15,5706,0.300838298096694,"0.0670000016689301","exons","Universal"
"0.068000003695488",15,5721,0.301629145357727,"0.068000003695488","exons","Universal"
"0.0689999982714653",18,5739,0.302578162070965,"0.0689999982714653","exons","Universal"
"0.0700000002980232",16,5755,0.303421732482733,"0.0700000002980232","exons","Universal"
"0.0710000023245811",11,5766,0.304001687140824,"0.0710000023245811","exons","Universal"
"0.0719999969005585",12,5778,0.304634364949649,"0.0719999969005585","exons","Universal"
"0.0729999989271164",15,5793,0.305425212210682,"0.0729999989271164","exons","Universal"
"0.0740000009536743",18,5811,0.30637422892392,"0.0740000009536743","exons","Universal"
"0.0750000029802322",15,5826,0.307165076184953,"0.0750000029802322","exons","Universal"
"0.0759999975562096",17,5843,0.308061369747456,"0.0759999975562096","exons","Universal"
"0.0769999995827675",15,5858,0.308852217008488,"0.0769999995827675","exons","Universal"
"0.0780000016093254",21,5879,0.309959403173934,"0.0780000016093254","exons","Universal"
"0.0790000036358833",7,5886,0.310328465229082,"0.0790000036358833","exons","Universal"
"0.0799999982118607",10,5896,0.310855696736437,"0.0799999982118607","exons","Universal"
"0.0810000002384186",12,5908,0.311488374545263,"0.0810000002384186","exons","Universal"
"0.0820000022649765",17,5925,0.312384668107766,"0.0820000022649765","exons","Universal"
"0.0829999968409538",10,5935,0.312911899615121,"0.0829999968409538","exons","Universal"
"0.0839999988675117",10,5945,0.313439131122476,"0.0839999988675117","exons","Universal"
"0.0850000008940697",23,5968,0.314651763589392,"0.0850000008940697","exons","Universal"
"0.0860000029206276",15,5983,0.315442610850424,"0.0860000029206276","exons","Universal"
"0.0869999974966049",18,6001,0.316391627563663,"0.0869999974966049","exons","Universal"
"0.0879999995231628",9,6010,0.316866135920283,"0.0879999995231628","exons","Universal"
"0.0890000015497208",11,6021,0.317446090578373,"0.0890000015497208","exons","Universal"
"0.0900000035762787",11,6032,0.318026045236463,"0.0900000035762787","exons","Universal"
